ACTUAL,PRED
62,65.50142051503022
66,66.91416404156907
79,75.32674765408694
61,67.40187834481151
73,70.59295664983664
30,22.463239401643072
96,86.43888513425031
57,68.29350336932518
68,69.2918619581841
48,43.176130801732
67,69.60370232919739
59,54.570676033593884
74,69.47812821990502
65,69.3947721448384
62,61.76758073384711
47,42.62161770666527
80,69.11533525609418
68,61.00969713717749
79,79.50873898281381
89,85.59086604362778
69,76.922397558041
53,53.63491800987063
64,66.40286193423523
82,84.87421455428478
36,33.938531259514775
90,84.05634586253183
64,56.89495162162644
52,61.72184318258671
67,73.49494563711815
51,60.7484891948367
79,73.91861407142939
63,70.42543742194253
52,45.66033648002971
40,53.50833135138843
40,46.186658748239424
63,56.02993480491126
46,49.31553795709043
65,61.30300228990343
62,60.89205303836762
90,87.67026060359578
47,48.76930036406732
59,50.2937194864684
77,77.87712465057547
52,50.16663188115375
99,89.47914234517069
70,66.62969896730347
64,62.30414379504569
80,82.57196531559103
42,39.29046394924589
97,95.19488106621787
50,55.44278720225571
65,68.49990699015666
52,49.12748583908864
59,67.40008596572736
74,65.77860504324016
43,44.132405123221304
67,66.30433717259986
100,105.69006825922852
72,73.15929986426677
71,71.30841674085154
55,48.8719541979658
84,83.65814034116822
63,65.46710391051197
63,72.13711093203611
42,55.48460973495776
78,76.62643429502593
69,67.52717357104201
80,76.08978834829809
79,73.5450131034715
87,96.13063908994113
65,65.87705775344888
51,54.76869387022703
85,92.38228191415686
47,54.010219848181976
54,52.101489200982556
38,42.439819755492564
59,65.23327997328666
60,55.54712741456415
49,51.15146904632233
52,51.08056558251762
44,50.699841196376255
70,75.60732019623607
84,85.65396217368416
76,74.17867031581247
35,32.68154703676578
96,86.46271547762206
80,81.46362824591786
81,79.063791710192
57,61.68400800639507
94,83.98079715068695
82,87.88912792581114
70,76.98439715022401
94,80.82881933561919
75,64.40275320729415
52,52.10108773202103
77,71.79123038447466
70,62.04408755066261
65,58.43469741285888
40,45.216863003059785
70,76.92187947061763
79,78.23650318796678
67,68.31541057721384
68,65.19487396740227
47,50.71573040967009
72,71.99350493304303
57,65.2648293619436
83,85.52495143288644
61,56.79829618664008
98,91.34926748249458
61,61.23474794605249
92,85.482610812761
68,61.59958311890002
77,78.97803165749754
66,59.85646270136149
47,51.5507037092174
65,53.71958210953057
68,68.95371494924129
63,69.27168489870316
73,73.61115912543502
42,50.94253886196335
62,64.8476259435787
68,67.98770957368171
67,69.2497776908145
49,50.5687956927909
35,34.4889152823184
68,74.25053470789977
69,64.7910231925163
70,78.22263492398505
80,79.89196535886143
75,73.09678218466038
63,60.42559317315307
66,63.73957222299132
74,74.79459257768676
44,45.445573487480246
72,66.50321479003325
77,76.93437175277649
46,44.4710702195875
72,67.66127676747722
82,80.93399973304518
62,66.5066514215386
80,77.72180414949796
54,56.123145132304955
79,73.81343367400339
87,80.13375295647067
65,66.48360856024505
82,77.45701192132321
40,44.532735739150894
93,82.88886405461558
65,65.44319068161096
77,72.04447143433515
46,56.483224676572505
88,79.99963261944454
32,35.546452527583575
39,50.16663188115375
86,76.86818366190712
53,41.32642193605394
81,81.26219388246705
41,40.43549139561324
61,69.41920591625458
88,84.43763160781178
59,70.16170291607423
81,88.23829512235284
58,54.07307922116524
64,70.78499887878671
81,86.84193533783281
70,72.4849889950492
62,66.95650466169451
77,65.26980455790017
62,57.75373032301184
87,91.32885121084874
67,56.44088405644707
62,67.87095645048176
76,64.33143708512011
63,62.59819806051476
88,81.80700086499716
72,79.63435279247658
55,60.720048907583674
61,60.49424898596555
50,50.523058141530505
87,84.77851736373395
54,59.96021248829449
22,24.926172067425313
66,72.7600652013717
83,84.63151688869769
56,63.44903563182226
54,55.60879293412753
74,72.19534076545538
87,75.69206718142529
86,80.67039890319853
66,68.56668138169826
65,64.17435181789887
58,60.68564941753615
75,77.85624658421827
52,60.39016454157407
54,58.79500798244619
82,79.78931152496294
63,61.74457757292394
59,60.24206565841151
70,75.64632963016489
59,51.85647256332722
74,77.25639852310573
72,66.15876485296481
97,88.33344158789862
47,47.400462750584296
95,87.60091030671032
49,50.26928571505223
64,61.36838577132243
24,20.32929687292158
77,72.8013370090687
55,57.602691631160404
74,76.68225663847132
69,70.8475165583931
77,75.44987696912804
76,75.07184850724539
61,73.43130123714849
93,92.32744901187256
62,63.02599556708911
64,64.44509382741958
66,67.15791942946261
86,82.96166591130617
46,44.40895400894265
76,72.77939010080966
59,55.125048278113596
63,53.064017689300954
47,42.072853550114644
61,63.23658777316326
72,75.15546093506782
39,40.26548530456202
86,86.65266000082819
47,47.57288512300833
81,84.75909701900243
58,54.314346276259336
59,63.57637958989273
79,79.50534205167885
65,69.95181180343265
65,67.70218677710966
50,47.537192536667234
44,49.72304812202911
71,63.50881771627295
60,65.68588834719804
86,81.64955526935367
53,50.18853908904241
89,90.02435958806124
65,63.365128831750596
78,85.3355570223282
63,65.71826688793345
75,78.11745452655906
46,46.22257642132436
50,46.9588874675638
65,72.11860065528242
65,68.33584398945061
90,90.05661541600169
57,58.83594055185809
52,57.18459985122026
65,57.18316924072727
84,86.43092687680021
62,68.29350336932518
81,78.63573785086183
46,50.84936823494003
71,66.24651229162626
49,49.41819179098891
51,47.994026993792055
69,66.36019921641562
48,43.850441670949564
73,65.2537962710527
98,92.32744901187256
99,92.19704736095221
74,73.22239599432315
68,72.30854517848856
53,51.50316280639156
87,86.28593242277631
71,78.22263492398505
67,69.93390495472339
73,74.85045462150252
76,72.04447143433515
44,37.2914819426681
35,37.55469836111302
70,71.80071604644161
75,69.4999525422644
74,72.40032489538926
58,59.7512823039355
79,85.67443877107983
40,49.989848826308005
50,54.87138593485358
79,87.43950609687741
59,67.16883177718846
53,58.87685056149052
41,46.54793821602799
58,62.57673550674652
59,61.896566533111184
81,90.17527753674764
53,56.921383432775336
